82
0 9.5
5 9.5
6 0
999 0
1000 9.5
1005 9.5
1006 0
1999 0
2000 9.5
2005 9.5
2006 0
2999 0
3000 9.5
3005 9.5
3006 0
3010 0
3010.1 0.7
3999 0.7
4000 9.5
4005 9.5
4006 0
4999 0
5000 9.5
5005 9.5
5006 0
5999 0
6000 9.5
6005 9.5
6006 0
6010 0
6010.1 0.73
6999 0.73
7000 9.5
7005 9.5
7006 0
7999 0
8000 9.5
8005 9.5
8006 0
8999 0
9000 9.5
9005 9.5
9006 0
9010 0
9010.1 0.75
9999 0.75
10000 9.5
10005 9.5
10006 0
10999 0
11000 9.5
11005 9.5
11006 0
11999 0
12000 9.5
12005 9.5
12006 0
12010 0
12010.1 0.78
12999 0.78
13000 9.5
13005 9.5
13006 0
13999 0
14000 9.5
14005 9.5
14006 0
14999 0
15000 9.5
15005 9.5
15006 0
15010 0
15010.1 0.8
15999 0.8
16000 9.5
16005 9.5
16006 0
16999 0
17000 9.5
17005 9.5
17006 0
17999 0
